timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2018-09-09T00:00:00.000Z;""2018-09-09T23:59:59.999Z"";""2018-09-09T14:34:00.000Z"";""2018-09-09T03:29:00.000Z"";""2781"";6223.38;6446.26;6201.22;6300.86;3671890000;108747090915;""2018-09-09T23:59:59.999Z"""
"2018-09-08T00:00:00.000Z;""2018-09-08T23:59:59.999Z"";""2018-09-08T11:14:00.000Z"";""2018-09-08T20:59:00.000Z"";""2781"";6460.17;6534.25;6197.52;6225.98;3835060000;107442122871;""2018-09-08T23:59:59.999Z"""
"2018-09-07T00:00:00.000Z;""2018-09-07T23:59:59.999Z"";""2018-09-07T06:04:00.000Z"";""2018-09-07T10:44:00.000Z"";""2781"";6528.92;6555.29;6396.87;6467.07;4264680000;111590424587;""2018-09-07T23:59:59.999Z"""
"2018-09-06T00:00:00.000Z;""2018-09-06T23:59:59.999Z"";""2018-09-06T00:04:00.000Z"";""2018-09-06T00:49:00.000Z"";""2781"";6755.14;6755.14;6404.72;6529.17;5523470000;112649565532;""2018-09-06T23:59:59.999Z"""
"2018-09-05T00:00:00.000Z;""2018-09-05T23:59:59.999Z"";""2018-09-05T02:04:00.000Z"";""2018-09-05T23:59:00.000Z"";""2781"";7361.46;7388.43;6792.83;6792.83;5800460000;117185657641;""2018-09-05T23:59:59.999Z"""
"2018-09-04T00:00:00.000Z;""2018-09-04T23:59:59.999Z"";""2018-09-04T18:34:00.000Z"";""2018-09-04T00:34:00.000Z"";""2781"";7263;7388.26;7255.44;7361.66;4273640000;126986882925;""2018-09-04T23:59:59.999Z"""
"2018-09-03T00:00:00.000Z;""2018-09-03T23:59:59.999Z"";""2018-09-03T20:14:00.000Z"";""2018-09-03T05:09:00.000Z"";""2781"";7279.03;7317.94;7208.15;7260.06;4087760000;125222785390;""2018-09-03T23:59:59.999Z"""
"2018-09-02T00:00:00.000Z;""2018-09-02T23:59:59.999Z"";""2018-09-02T09:34:12.000Z"";""2018-09-02T02:19:00.000Z"";""2781"";7189.58;7306.31;7132.16;7272.72;4329540000;125427780027;""2018-09-02T23:59:59.999Z"""
"2018-09-01T00:00:00.000Z;""2018-09-01T23:59:59.999Z"";""2018-09-01T19:59:00.000Z"";""2018-09-01T00:09:00.000Z"";""2781"";7044.81;7242.29;7038.05;7193.25;4116050000;124044625438;""2018-09-01T23:59:59.999Z"""
"2018-08-31T00:00:00.000Z;""2018-08-31T23:59:59.999Z"";""2018-08-31T18:19:00.000Z"";""2018-08-31T13:19:00.000Z"";""2781"";6973.97;7057.17;6920.16;7037.58;4495650000;121346613238;""2018-08-31T23:59:59.999Z"""
